id,image_url,scientific_name,common_name,iconic_taxon_name,taxon_id
8292,https://inaturalist-open-data.s3.amazonaws.com/photos/18245/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
41520,https://inaturalist-open-data.s3.amazonaws.com/photos/68799/small.JPG,Alectoris chukar,Азиатский кеклик,Aves,846
44190,https://inaturalist-open-data.s3.amazonaws.com/photos/71433/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
49645,https://static.inaturalist.org/photos/79346/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
65918,https://inaturalist-open-data.s3.amazonaws.com/photos/100435/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
66064,https://static.inaturalist.org/photos/100618/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
84553,https://static.inaturalist.org/photos/123672/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
90680,https://inaturalist-open-data.s3.amazonaws.com/photos/132180/small.jpg,Alectoris rufa,Красная куропатка,Aves,867
90685,https://inaturalist-open-data.s3.amazonaws.com/photos/132185/small.jpg,Alectoris rufa,Красная куропатка,Aves,867
101379,https://static.inaturalist.org/photos/146851/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
107335,https://inaturalist-open-data.s3.amazonaws.com/photos/100631/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
126379,https://inaturalist-open-data.s3.amazonaws.com/photos/178839/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
137637,https://static.inaturalist.org/photos/191343/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
139890,https://inaturalist-open-data.s3.amazonaws.com/photos/193881/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
143928,https://inaturalist-open-data.s3.amazonaws.com/photos/199015/small.JPG,Alectoris chukar,Азиатский кеклик,Aves,846
188141,https://inaturalist-open-data.s3.amazonaws.com/photos/242489/small.jpg,Alectoris chukar,Азиатский кеклик,Aves,846
