id,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8292,https://inaturalist-open-data.s3.amazonaws.com/photos/18245/medium.jpg,Perdrix choukar,Alectoris chukar,Азиатский кеклик,Aves,846
41520,https://inaturalist-open-data.s3.amazonaws.com/photos/68799/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
44190,https://inaturalist-open-data.s3.amazonaws.com/photos/71433/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
49645,https://static.inaturalist.org/photos/79346/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
65918,https://inaturalist-open-data.s3.amazonaws.com/photos/100435/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
66064,https://static.inaturalist.org/photos/100618/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
84553,https://static.inaturalist.org/photos/123672/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
90680,https://inaturalist-open-data.s3.amazonaws.com/photos/132180/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
90685,https://inaturalist-open-data.s3.amazonaws.com/photos/132185/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
101379,https://static.inaturalist.org/photos/146851/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
107335,https://inaturalist-open-data.s3.amazonaws.com/photos/100631/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
126379,https://inaturalist-open-data.s3.amazonaws.com/photos/178839/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
137637,https://static.inaturalist.org/photos/191343/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
139890,https://inaturalist-open-data.s3.amazonaws.com/photos/193881/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
143928,https://inaturalist-open-data.s3.amazonaws.com/photos/199015/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
188141,https://inaturalist-open-data.s3.amazonaws.com/photos/242489/medium.jpg,Chukar (Alectoris chukar),Alectoris chukar,Азиатский кеклик,Aves,846
190032,https://inaturalist-open-data.s3.amazonaws.com/photos/244440/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
263707,https://inaturalist-open-data.s3.amazonaws.com/photos/326472/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
301274,https://inaturalist-open-data.s3.amazonaws.com/photos/373613/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
